name,code,rating,e,s,g
AJ네트웍스,095570,B,D,B,B
AK홀딩스,006840,B+,C,B+,B+
BGF,027410,B+,B,A,B+
BGF리테일,282330,A,B+,B+,A
BNK금융지주,138930,A+,B+,A+,A+
BNK캐피탈,801190,,,,B+
BYC,001460,B,D,B,B+
CJ,001040,A,B,A,A
CJ CGV,079160,A,B,A,A
CJ ENM,035760,B+,C,A,A
CJ대한통운,000120,A,A,B,A
CJ씨푸드,011150,B,C,B+,B+
CJ제일제당,097950,A,A,A+,A
CJ프레시웨이,051500,A,B,A+,A
CMG제약,058820,C,D,B,C
CS홀딩스,000590,C,D,C,B
DB,012030,B,D,B,B
DB금융투자,016610,B,D,A,B
DB생명보험,818158,,,,B+
DB손해보험,005830,B+,A,A,B+
DB하이텍,000990,B+,B+,A,B+
DGB금융지주,139130,A+,A,A+,A+
DGB생명보험,813363,,,,A
DRB동일,004840,B,B,B+,B
DSR,155660,C,B,B,C
DSR제강,069730,C,C,B,C
E1,017940,B,C,A,B+
F&F,007700,D,D,C,C
GKL,114090,B+,C,A,A
GS,078930,B+,C,A,A
GS건설,006360,A,A,B+,A
GS글로벌,001250,B,D,B+,B+
GS리테일,007070,B,C,B+,B+
GS홈쇼핑,028150,A,B+,A,A
HDC,012630,B+,C,B+,B+
HDC아이콘트롤스,039570,C,D,C,B
HDC현대EP,089470,B,B,B+,B
HDC현대산업개발,294870,B,C,B,B+
HMM,011200,A,A,A+,A
HSD엔진,082740,A,B+,A,A
JB금융지주,175330,A+,A,A,A+
JW생명과학,234080,B+,B+,B+,B+
JW중외제약,001060,B,B,B+,B
JW홀딩스,096760,B+,C,B+,B+
JYP Ent.,035900,B,D,B,B
KB금융,105560,A+,A+,A+,A+
KB손해보험,002550,,,,A
KB캐피탈,021960,,,,A
KCC건설,021320,C,C,B,C
KC그린홀딩스,009440,B,B,B+,B
KC코트렐,119650,B,B,B,B
KEC,092220,B,B+,B+,C
KG이니시스,035600,C,D,B,D
KG케미칼,001390,D,C,C,D
KISCO홀딩스,001940,C,B,B,C
KPX케미칼,025000,B,B,C,B
KPX홀딩스,092230,C,C,C,B
KR모터스,000040,C,D,C,B
KSS해운,044450,B+,B,B+,B+
KTB투자증권,030210,C,D,B,C
KTH,036030,B+,C,B+,B+
KTcs,058850,B,D,B+,B+
KTis,058860,B,D,B+,B+
KT서브마린,060370,B,D,B+,B+
LF,093050,B,D,B,B+
LG,003550,A,B+,A+,B+
LG디스플레이,034220,A,B+,A+,B+
LG상사,001120,A,A,A+,A
LG생활건강,051900,A,A,A+,A
LG유플러스,032640,B,B+,B+,B
LG이노텍,011070,A,A,A+,B+
LG전자,066570,B+,A,A+,B
LG하우시스,108670,A,A,A+,A
LG헬로비전,037560,B+,D,B+,A
LG화학,051910,B,C,A,B+
LIG넥스원,079550,A,B+,A,A
LS,006260,B+,B,B+,A
LS네트웍스,000680,B,D,B+,B
LS전선아시아,229640,B,D,C,B+
MH에탄올,023150,B,C,B,B+
NAVER,035420,A,B+,A,A+
NHN한국사이버결제,060250,B,D,B,B+
NH농협손해보험,839719,,,,B+
NH투자증권,005940,B+,B,A+,B+
NICE,034310,B,D,B,B+
NICE평가정보,030190,B,D,B,B
NI스틸,008260,C,D,C,B
OCI,010060,A,A,A+,A
RFHIC,218410,C,D,C,B
S&TC,100840,B+,B,B,B+
S&T모티브,064960,B+,B,B+,B+
S&T중공업,003570,B+,B+,B+,B+
S&T홀딩스,036530,B+,C,B+,B+
S-Oil,010950,A+,A,A+,A+
SBS,034120,B,C,B,B+
SBS미디어홀딩스,101060,B,C,B,B
SBS콘텐츠허브,046140,C,D,C,B
SG세계물산,004060,C,D,B,C
SG충방,001380,D,C,C,D
SH에너지화학,002360,C,C,C,B+
SIMPAC,009160,C,C,B,C
SK,034730,A+,A,A+,A+
SKC,011790,A,B+,A+,A
SKC 솔믹스,057500,B,B,B,B+
SKC코오롱PI,178920,B,C,B,B+
SK가스,018670,A,B+,A+,A
SK네트웍스,001740,A+,B+,A+,A+
SK디스커버리,006120,A,B,A,A
SK디앤디,210980,B,C,B,B+
SK렌터카,068400,B,B,C,B
SK머티리얼즈,036490,B+,B,A,B+
SK바이오랜드,052260,B,C,B,B+
SK이노베이션,096770,A,A,A+,A
SK증권,001510,B,D,A,B
SK케미칼,285130,B+,B+,A,B+
SK텔레콤,017670,A+,A+,A,A+
SK하이닉스,000660,A,A,A+,A
SPC삼립,005610,B+,B,A,B
STX,011810,B,C,B+,B
STX엔진,077970,B+,B+,B+,B
STX중공업,071970,B,C,B+,B+
TCC스틸,002710,C,B,B,C
WISCOM,024070,C,C,C,B+
YG PLUS,037270,B,D,B,B
가온전선,000500,B+,B,B+,B+
강남제비스코,000860,B,B,C,B
강스템바이오텍,217730,C,D,C,B
강원랜드,035250,A,B,A,A
갤럭시아에스엠,011420,C,D,C,C
갤럭시아컴즈,094480,C,D,C,B
경남은행,192520,,,,A
경농,002100,C,B,B+,C
경동나비엔,009450,B+,B,B+,B+
경동도시가스,267290,B+,B,A,B+
경동인베스트,012320,B,C,B,B+
경방,000050,C,C,B,B
경보제약,214390,B,B,B,B
경인양행,012610,B,B,C,B
경인전자,009140,C,D,C,B
계룡건설산업,013580,B,B,B,B+
계양전기,012200,B,B,B+,B
고려산업,002140,C,C,C,C
고려아연,010130,B+,B+,B,B+
고려제강,002240,B,B+,B+,C
고영,098460,B+,B,B+,B+
광동제약,009290,B,C,B+,B+
광명전기,017040,C,C,C,C
광전자,017900,B,C,B,B+
광주신세계,037710,B+,C,A,B+
광주은행,192530,,,,A
교보생명보험,811097,,,,B+
교보증권,030610,B,D,B+,B
국도화학,007690,B,B,B,B
국동,005320,B,D,C,B+
국민은행,060000,,,,A
국보,001140,C,B,C,C
