name,code,rating,e,s,g
AJ네트웍스,95570,B,D,B,B
AK홀딩스,6840,B+,C,B+,B+
BGF,27410,B+,B,A,B+
BGF리테일,282330,A,B+,B+,A
BNK금융지주,138930,A+,B+,A+,A+
BYC,1460,B,D,B,B+
CJ,1040,A,B,A,A
CJ CGV,79160,A,B,A,A
CJ ENM,35760,B+,C,A,A
CJ대한통운,120,A,A,B,A
CJ씨푸드,11150,B,C,B+,B+
CJ제일제당,97950,A,A,A+,A
CJ프레시웨이,51500,A,B,A+,A
CMG제약,58820,C,D,B,C
CS홀딩스,590,C,D,C,B
DB,12030,B,D,B,B
DB금융투자,16610,B,D,A,B
DB손해보험,5830,B+,A,A,B+
DB하이텍,990,B+,B+,A,B+
DGB금융지주,139130,A+,A,A+,A+
DRB동일,4840,B,B,B+,B
DSR,155660,C,B,B,C
DSR제강,69730,C,C,B,C
E1,17940,B,C,A,B+
F&F,7700,D,D,C,C
GKL,114090,B+,C,A,A
GS,78930,B+,C,A,A
GS건설,6360,A,A,B+,A
GS글로벌,1250,B,D,B+,B+
GS리테일,7070,B,C,B+,B+
GS홈쇼핑,28150,A,B+,A,A
HDC,12630,B+,C,B+,B+
HDC아이콘트롤스,39570,C,D,C,B
HDC현대EP,89470,B,B,B+,B
HDC현대산업개발,294870,B,C,B,B+
HMM,11200,A,A,A+,A
HSD엔진,82740,A,B+,A,A
JB금융지주,175330,A+,A,A,A+
JW생명과학,234080,B+,B+,B+,B+
JW중외제약,1060,B,B,B+,B
JW홀딩스,96760,B+,C,B+,B+
JYP Ent.,35900,B,D,B,B
KB금융,105560,A+,A+,A+,A+
KCC건설,21320,C,C,B,C
KC그린홀딩스,9440,B,B,B+,B
KC코트렐,119650,B,B,B,B
KEC,92220,B,B+,B+,C
KG이니시스,35600,C,D,B,D
KG케미칼,1390,D,C,C,D
KISCO홀딩스,1940,C,B,B,C
KPX케미칼,25000,B,B,C,B
KPX홀딩스,92230,C,C,C,B
KR모터스,40,C,D,C,B
KSS해운,44450,B+,B,B+,B+
KTB투자증권,30210,C,D,B,C
KTH,36030,B+,C,B+,B+
KTcs,58850,B,D,B+,B+
KTis,58860,B,D,B+,B+
KT서브마린,60370,B,D,B+,B+
LF,93050,B,D,B,B+
LG,3550,A,B+,A+,B+
LG디스플레이,34220,A,B+,A+,B+
LG상사,1120,A,A,A+,A
LG생활건강,51900,A,A,A+,A
